climbRate,Sgz,p,q,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SaTime1,SaTime2,SaTime3,SaTime4,diffSaTime1,diffSaTime2,diffSaTime3,diffSaTime4,Sa,Y
-194,3,-0.17,-0.04,0.2,-11,-2,0.005,2.3,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
102,-3,0.16,-0.03,0.2,-11,7,0.007,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
146,2,0.25,0.03,0.5,-10,-1,0.005,0.5,-0.0006,-0.0006,-0.0006,-0.0006,-0.0002,0,0,0,-0.0006,-1
-234,1,-0.12,0.13,1,-10,-11,-0.009,0,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,-1
-323,-7,-0.22,0.09,0.7,-10,-3,-0.007,-0.4,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
-328,-15,-0.3,0.03,0.4,-11,4,-0.005,-0.3,-0.0006,-0.0007,-0.0007,-0.0008,0.0001,0,0.0001,0,-0.0008,1
200,-21,0.08,-0.12,-0.2,-11,17,0.011,-0.2,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,1
384,-10,0.27,-0.02,0.3,-11,6,0.008,0.5,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,-1
318,3,0.34,0.1,0.8,-10,-10,0.002,1,-0.0008,-0.0006,-0.0006,-0.0006,-0.0002,0,-0.0002,0,-0.0006,-1
-332,3,-0.21,0.16,1.2,-10,-14,-0.01,0,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
-427,-19,-0.36,0.05,0.3,-11,1,-0.002,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0001,0,0,0,-0.0007,1
139,-39,0.23,-0.03,-0.5,-11,8,0.008,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-113,-34,0.32,0.07,-0.8,-12,-2,0.005,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-54,-38,0.39,0.01,0.1,-11,4,0.002,0.1,-0.0007,-0.0006,-0.0006,-0.0006,-0.0002,0,0,0,-0.0006,1
-72,-39,0.29,0.07,0.6,-10,-8,-0.011,0.4,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
-81,-42,0.16,0.04,0.9,-10,1,-0.007,-0.5,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,1
-83,-46,-0.23,0.04,0.9,-10,-1,-0.012,0,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,1
-27,-48,-0.38,0.01,0.4,-11,6,-0.009,-0.7,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
294,-17,0.3,0.04,-0.2,-11,1,0.003,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
146,-6,0.18,0.11,0.6,-10,-9,-0.007,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,1
-182,-6,-0.33,0.14,0.4,-11,-11,-0.016,0,-0.0009,-0.0009,-0.0009,-0.0009,0.0001,0,0,0,-0.0009,1
-259,-10,-0.43,-0.05,0,-11,-2,-0.008,2,-0.0008,-0.0008,-0.0008,-0.0008,0.0001,0,0,0,-0.0008,1
-88,-16,-0.38,-0.05,-0.8,-12,11,0.006,-0.4,-0.0006,-0.0006,-0.0006,-0.0007,0,0,0.0001,0,-0.0007,1
330,-11,-0.09,-0.13,-1.4,-12,19,0.012,0.2,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,1
509,-3,0.06,0.04,-1.4,-12,5,0.011,-1.9,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
550,13,0.22,0.04,-1.2,-12,-1,0.009,0.5,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
188,50,0.24,0.13,0.7,-10,-11,-0.008,-0.1,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0,0,0,-0.0007,1
14,52,0.03,0.14,0.9,-10,-12,-0.015,0.1,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,1
-263,40,-0.51,0.09,-0.6,-11,-5,-0.007,0,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,1
275,36,0.49,0.01,-0.6,-11,5,0.002,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-275,14,0.21,0.09,-0.3,-11,-4,-0.008,-0.4,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
462,24,0.25,0.02,-0.5,-11,4,0.001,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,1
-534,11,-0.28,0.07,-0.5,-11,-2,0.006,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-72,-35,0.36,0.01,0.8,-10,3,-0.005,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,-0.0002,0,0,0,-0.0007,1
-149,-40,0.11,0.07,1.5,-9,-5,-0.01,0.1,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0,0,0,-0.0007,1
-197,-43,-0.05,0.11,1.6,-9,-8,-0.021,-0.6,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,1
-241,-48,-0.31,0.05,1.3,-10,1,-0.018,-0.5,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,1
-202,-56,-0.42,0,0.5,-11,3,0.001,0.3,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,1
373,-51,0.01,-0.06,-0.9,-12,12,0.01,0,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,1
528,-34,0.2,0.01,-0.7,-12,6,0.008,-0.3,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
383,7,-0.01,0.09,0.2,-11,-6,-0.009,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
172,17,-0.18,0.15,0,-11,-12,-0.008,-0.3,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
6,21,-0.24,0.09,-0.8,-12,-5,-0.001,-0.1,-0.0006,-0.0006,-0.0006,-0.0007,0.0001,0,0.0001,0,-0.0007,1
106,23,0.04,0.01,-1,-12,5,0.01,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-311,13,-0.2,0.07,0.1,-11,-3,0.004,-0.3,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
84,-11,0.22,0.01,0.6,-10,4,0.001,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-102,-9,-0.17,0.09,0.8,-10,-6,-0.01,0,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
357,9,0.33,0.02,-0.2,-11,3,0.002,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
321,21,0.27,0.1,0.6,-10,-7,-0.011,-0.4,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
-16,33,-0.46,0.11,0.1,-11,-8,-0.014,0,-0.0009,-0.0009,-0.0009,-0.0009,0.0001,0,0,0,-0.0009,1
320,48,0.41,0.01,-0.7,-12,5,0.009,-0.1,-0.0006,-0.0006,-0.0006,-0.0005,0,0,-0.0001,0,-0.0005,1
344,54,0.46,0.11,-0.3,-11,-4,0.004,-1.5,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
272,60,0.48,0.16,0.4,-11,-12,-0.006,-0.9,-0.0008,-0.0008,-0.0008,-0.0007,0,0,-0.0002,0,-0.0007,1
62,64,0.24,0.16,1,-10,-15,-0.017,0,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,1
-499,48,-0.27,0.15,0.8,-10,-13,-0.01,0,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
-299,-18,0.12,0.01,-0.6,-12,5,0.008,0,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-270,-21,0.17,-0.07,-0.6,-11,5,0.008,0.5,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,1
-173,-29,0.09,0.04,-0.1,-11,1,-0.007,-0.3,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
394,-17,-0.1,-0.03,-0.3,-11,8,-0.002,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,1
478,6,-0.13,0.04,-0.6,-11,1,-0.002,0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,1
193,60,0.06,0.1,0.1,-11,-7,-0.009,0,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
-380,53,-0.17,0.15,-0.4,-11,-12,-0.003,0,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,1
-366,26,-0.02,0.01,-0.9,-12,4,0.009,0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-92,14,0.28,-0.06,-0.5,-11,11,0.01,0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,1
356,40,0.45,0.03,-0.3,-11,2,0.002,0,-0.0007,-0.0007,-0.0007,-0.0006,-0.0002,0,-0.0002,0,-0.0006,1
296,51,0.35,0.09,0.5,-11,-6,-0.008,0.3,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,1
-102,57,-0.08,0.17,1,-10,-15,-0.015,0.1,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,1
-266,53,-0.21,0.15,0.8,-10,-14,-0.007,0.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0001,0,0,0,-0.0007,1
-71,20,0.32,0.01,0.8,-10,4,0.005,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,1
-146,17,0.16,0.1,1.4,-10,-7,-0.013,-0.1,-0.0007,-0.0008,-0.0008,-0.0008,0.0001,0,0,0,-0.0008,1
372,57,0.24,0.01,-0.9,-12,5,0.013,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,1
346,76,0.54,0.07,0.5,-11,-4,0.004,-0.1,-0.0007,-0.0007,-0.0007,-0.0005,-0.0002,0,-0.0003,0,-0.0005,1
-455,73,-0.23,0.16,1.4,-10,-15,-0.012,0,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
-531,44,-0.25,0.02,0.5,-10,3,0.006,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-56,16,0.22,-0.05,0.4,-11,10,0.008,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,1
253,48,0.29,0.04,-0.5,-11,2,0.003,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-16,60,0.01,0.11,0.6,-10,-9,-0.01,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
-212,55,-0.27,0.12,0.3,-11,-9,-0.011,-0.1,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,1
-48,9,-0.05,0.04,-0.7,-12,2,0.006,0,-0.0006,-0.0006,-0.0006,-0.0006,0.0001,0,0,0,-0.0006,1
177,11,0.21,-0.03,-0.5,-11,9,0.007,-0.2,-0.0007,-0.0006,-0.0006,-0.0005,-0.0002,0,-0.0001,0,-0.0005,1
260,87,0.12,0.06,1.1,-10,-4,-0.015,0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
-120,94,-0.36,0.12,0.4,-11,-9,-0.008,0,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
13,77,0.42,0.04,-0.3,-11,2,0.005,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-337,71,0.3,0.17,1.2,-10,-15,-0.01,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,1
-514,33,-0.23,0.06,1.5,-10,-4,-0.015,0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
-423,9,-0.45,0,0.4,-11,5,-0.005,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
172,-5,-0.13,-0.08,-1.2,-12,14,0.009,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
348,5,0.03,-0.03,-1.3,-12,8,0.008,0.3,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
426,19,0.21,0.04,-1.1,-12,3,0.009,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-242,-20,-0.65,0.03,-0.6,-11,2,-0.007,0.1,-0.0012,-0.0012,-0.0012,-0.0012,0,0,0,0,-0.0012,-1
-225,-23,-0.65,-0.02,-1.2,-11,2,0.011,0.3,-0.0006,-0.0007,-0.0007,-0.0008,0.0001,0,0.0001,0,-0.0008,-1
-29,-30,-0.02,0.01,-2.2,-12,6,0.019,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,-1
77,-22,0.37,0.06,-0.5,-10,-2,-0.001,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,-1
123,-18,0.26,0.02,0.6,-9,2,-0.006,-0.1,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,-1
-12,-14,-0.15,0.13,0.8,-9,-9,-0.019,-0.3,-0.0012,-0.0012,-0.0012,-0.0012,0,0,0,0,-0.0012,-1
-75,-15,-0.28,0.02,0.6,-9,-7,-0.017,1.3,-0.0012,-0.0012,-0.0012,-0.0012,0,0,0,0,-0.0012,-1
-86,-16,-0.38,-0.06,0.4,-10,2,-0.008,1.2,-0.0009,-0.0009,-0.0009,-0.001,0,0,0.0001,0,-0.001,-1
184,-12,-0.1,0.01,-1,-11,5,0.007,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,-1
165,-3,0.02,0.09,-1.1,-11,-4,0.003,-0.3,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,-1
-95,1,0.16,0.15,-0.8,-11,-11,0.004,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,-1
66,-4,0.11,0.01,0.3,-10,3,-0.009,-0.2,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,-1
-56,-2,-0.21,0.09,0.1,-10,-6,-0.007,-0.1,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,-1
-169,-8,-0.21,0.09,-0.7,-11,-5,0.002,0,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,-1
162,-11,0.11,-0.09,-0.9,-11,14,0.01,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,-1
179,-2,0.29,0.1,-0.4,-10,-5,0.006,-0.4,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,-1
-277,-4,0.14,0.19,0.6,-9,-16,-0.009,0,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,-1
-103,-33,-0.06,0.01,-0.7,-11,4,0.011,-0.1,-0.0005,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,-1
100,-34,0.3,-0.07,-0.4,-10,10,0.015,-0.1,-0.0005,-0.0004,-0.0004,-0.0004,-0.0001,0,0,0,-0.0004,-1
25,-26,0.46,0.1,1.5,-9,-7,-0.006,-0.5,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,-1
-17,-26,0.43,0.02,1.8,-8,-8,-0.006,0.5,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,-1
114,-18,-0.45,0.01,1.3,-9,2,-0.002,0,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,-1
259,0,-0.06,0.02,-0.6,-10,3,0.01,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,-1
265,5,0.03,0.14,-0.6,-11,-6,0.007,-1.7,-0.0005,-0.0005,-0.0005,-0.0006,0,0,0.0001,0,-0.0006,-1
124,11,0.26,0.12,-0.3,-10,-11,0.012,0.4,-0.0005,-0.0005,-0.0005,-0.0005,-0.0001,0,0,0,-0.0005,-1
-67,12,0.36,0.1,0.7,-9,-7,0.001,0,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,-1
-93,11,0.36,0.1,0.8,-9,-8,0,-0.2,-0.0007,-0.0007,-0.0007,-0.0006,0,0,-0.0002,0,-0.0006,-1
-184,4,0.25,0.05,1.7,-8,-3,-0.006,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,-1
-291,-8,-0.03,0.07,2.1,-8,-6,-0.012,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
492,3,0,-0.03,-0.6,-11,7,0.007,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,-1
416,18,0.14,0.11,-0.5,-10,-13,0.007,1.3,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,-1
395,19,0.15,0.13,-0.5,-10,-11,0.007,0.8,-0.0006,-0.0006,-0.0006,-0.0006,-0.0001,0,0,0,-0.0006,-1
205,30,0.05,0.12,-0.2,-10,-10,-0.009,0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,-1
-273,30,-0.27,0.2,-0.5,-10,-18,-0.01,0,-0.0008,-0.0009,-0.0009,-0.0009,0.0001,0,0,0,-0.0009,-1
-427,13,-0.2,0.05,-1.2,-11,-3,0.006,0.2,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-356,-3,-0.05,0.01,-1.5,-11,4,0.007,0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
415,-3,0.29,-0.1,-0.7,-11,15,0.003,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,-1
88,31,0.31,0.14,1.3,-9,-13,-0.006,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,-1
-178,29,0.1,0.16,1.7,-8,-15,-0.013,0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
-334,-2,-0.3,0.04,0.9,-9,-2,-0.004,0,-0.0006,-0.0007,-0.0007,-0.0007,0.0001,0,0,0,-0.0007,1
178,-15,0.06,-0.01,-0.2,-10,4,0.002,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,-1
19,-9,0.07,0.12,0.1,-10,-10,-0.001,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-104,-12,0.06,0.07,0.3,-10,-4,-0.001,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
193,1,0.26,0.03,-0.4,-10,1,0.004,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-41,8,0.2,0.1,0.7,-9,-8,-0.004,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
44,5,-0.16,-0.01,0.8,-9,4,-0.005,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,1
12,8,-0.18,0.06,0.1,-10,-3,0.001,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-275,0,-0.13,0.12,-0.6,-10,-9,0.002,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-339,-9,-0.09,0.08,-0.7,-11,-2,0.003,-0.7,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-106,-30,0.2,0.02,0,-10,3,-0.004,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,1
239,-25,-0.11,-0.04,0.3,-10,7,-0.007,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,1
-150,-11,0.04,0.09,-1.4,-11,-5,0.004,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-61,-24,-0.21,0.04,1.2,-9,-3,-0.01,0,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,1
75,-25,-0.42,-0.07,0.5,-9,9,-0.009,0.1,-0.0005,-0.0007,-0.0007,-0.0008,0.0001,0,0.0001,0,-0.0008,1
371,-12,-0.17,-0.04,-0.6,-10,8,0.009,0,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,1
420,-8,-0.12,0.04,-0.7,-11,8,0.008,-0.6,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,1
-221,11,0.29,0.14,0.9,-9,-13,-0.003,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,-0.0002,0,0,0,-0.0006,1
-311,-16,0.02,0.03,1.7,-8,-1,-0.007,0,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
3,-27,-0.32,-0.07,1.1,-9,10,-0.008,0,-0.0005,-0.0006,-0.0006,-0.0007,0,0,0.0001,0,-0.0007,1
23,-27,-0.32,-0.09,1.1,-9,10,-0.002,0.2,-0.0005,-0.0005,-0.0005,-0.0006,0.0001,0,0,0,-0.0006,1
463,-7,0.13,-0.05,0.6,-9,9,0.009,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,1
605,12,0.17,-0.04,0.9,-9,6,-0.001,0,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
544,32,0.06,0.09,1.2,-9,-8,-0.009,0.6,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,-1
-97,47,-0.22,0.22,0.9,-9,-22,-0.008,0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,1
-373,35,-0.33,0.1,0.2,-10,-8,-0.004,0.2,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,1
-276,17,-0.26,-0.02,-0.8,-11,7,0.004,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,1
-199,8,-0.05,0.03,-1.2,-11,2,0.01,-0.2,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,1
131,5,0.4,-0.04,-0.4,-10,8,0.008,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,1
-279,4,-0.09,0.11,1.4,-9,-10,-0.012,0,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,1
